reservoir,lat,lng
"TRINITY LAKE",40.801,-122.762
WHISKEYTOWN,40.598,-122.537
LEWISTON,40.727,-122.793
"SONOMA(WARM SPRINGS)",38.723,-123.01
"MENDOCINO (COYOTE)",39.197,-123.186
SHASTA,40.718,-122.42
KESWICK,40.601,-122.443
OROVILLE,39.54,-121.493
ANTELOPE,40.18,-120.607
FRENCHMAN,39.883,-120.183
"LAKE DAVIS",39.883,-120.467
"BULLARDS BAR",39.393,-121.14
ENGLEBRIGHT,39.239,-121.267
FOLSOM,38.683,-121.183
"UNION VALLEY",38.864,-120.438
"LOON LAKE",38.983,-120.323
"ICH HOUSE",38.824,-120.359
NIMBUS,38.65,-121.183
"INDIAN VALLEY",39.083,-122.533
"BLACK BUTTE",39.808,-122.329
"NEW HOGAN",38.152,-120.812
CAMANCHE,38.225,-121.021
PARDEE,38.25,-120.85
DONNELL'S,38.329,-119.96
BEARDSLEY,38.203,-120.075
TULLOCH,37.875,-120.603
"NEW MELONES",37.9481,-120.525
"DON PEDRO",37.702,-120.421
"HETCH HETCHY",37.95,-119.783
"CHERRY VALLEY",37.967,-119.917
"MC CLURE (EXCHEQUER)",37.585,-120.27
"EASTMAN (BUCHANAN)",37.213,-119.97
"HENSLEY (HIDDEN)",37.2,-119.917
"MILLERTON (FRIANT)",37.001,-119.705
"SAN LUIS",37.033,-121.133
"PINE FLAT",36.833,-119.325
"KAWEAH (TERMINUS)",36.415,-119.002
SUCCESS,36.061,-118.922
ISABELLA,35.646,-118.473
STAMPEDE,39.471,-120.103
"INDEPENDENCE LAKE",39.452,-120.29
"DONNER LAKE",39.333,-120.25
"CACHUMA LAKE",34.583,-119.98
PYRAMID,34.633,-118.75
CASTAIC,34.5152,-118.6101
"LAKE PERRIS",33.858,-117.183
Abilene,32.234444,-99.888611
Addicks,29.7907839,-95.6235563
"Alan Henry",33.062778,-101.047222
Amistad,29.4502245,-101.0578773
"Amon G Carter",33.4692751,-97.865869
Aquilla,31.9134913,-97.2086193
Arlington,32.7220762,-97.2000126
Austin,30.2940958,-97.7861177
"B A Steinhagen",30.85,-94.19
Bardwell,32.2859792,-96.6644353
"Palo Pinto",32.6467959,-98.2753252
"Pat Cleburne",
"Pat Mayse",33.8534376,-95.5485703
"Possum Kingdom",32.8712336,-98.4269972
Proctor,31.9723674,-98.4767122
"Ray Hubbard",32.7995716,-96.4949877
"Ray Roberts",33.3334494,-97.0300086
"Red Bluff",31.901237,-103.910753
